place_id,블로그_리뷰수
1653318859,37.0
1202988463,23.0
1081200889,36.0
1564245185,31.0
1641298819,12.0
1043971488,13.0
1269638080,13.0
1121119852,8.0
1531287826,19.0
1336214521,64.0
1770103662,18.0
1714605319,15.0
1543726258,34.0
1593671504,20.0
1101064292,9.0
1639281481,29.0
1980846214,38.0
1334489648,33.0
1122647370,48.0
1995328139,22.0
1261572579,31.0
1484043295,17.0
2060028511,0.0
1120896099,45.0
1044195828,4.0
2028586634,3.0
1288163025,5.0
1461483346,72.0
1386930975,31.0
1475895833,12.0
1151781076,1.0
1192310932,35.0
1985336624,32.0
1212647341,53.0
1229628998,19.0
1164737192,27.0
1429059026,66.0
1341070762,3.0
1675941778,9.0
1539758577,47.0
1130662963,24.0
1152966956,12.0
1855730149,31.0
1934587126,30.0
1563654697,106.0
1095843436,9.0
1718262211,9.0
1221164706,94.0
1671462839,25.0
1140050388,19.0
1827234611,40.0
1003306910,18.0
1401517138,10.0
1496785057,28.0
1316989193,19.0
1528813980,12.0
1529376857,20.0
1306011169,1.0
1350593533,61.0
1185584557,7.0
1728053017,7.0
1934619685,17.0
1667394356,5.0
1166525407,17.0
1599677441,45.0
1609018605,2.0
1310839658,6.0
1604387325,5.0
1365525277,5.0
1047858386,20.0
1031083325,11.0
1942532632,45.0
1924330846,13.0
1231800684,35.0
1131916454,19.0
1486532406,5.0
1032543682,3.0
1283663444,71.0
1502886652,29.0
1347315519,26.0
1094108498,13.0
1315467654,21.0
1201225994,44.0
1095389920,15.0
1529303622,5.0
1275359715,26.0
1856141633,11.0
1326128647,13.0
1329344968,5.0
1345961322,30.0
1416268607,15.0
1715463219,70.0
1970770706,12.0
1047538304,12.0
1203738762,58.0
1085628828,24.0
1292391064,11.0
1618620966,54.0
1564897016,15.0
1930537898,6.0
1272666945,43.0
1743564761,18.0
1069547938,95.0
1664789586,7.0
1534049176,33.0
1104406299,5.0
1914402029,13.0
1053571029,55.0
1589740014,14.0
1251289688,9.0
1739324821,5.0
1973820010,12.0
1526986047,34.0
1788671295,7.0
1050993722,19.0
1046930641,104.0
1446761157,15.0
1276398984,23.0
2032724448,1.0
1626443443,45.0
1902214765,11.0
1583835753,34.0
1098387318,27.0
1957512936,104.0
1068781997,32.0
1744675487,27.0
1997098203,13.0
1419560678,12.0
1520975504,9.0
1700121235,16.0
1669752875,8.0
1819733849,33.0
1695640440,20.0
1662562207,61.0
1075452973,22.0
1183679383,38.0
1156178973,57.0
1961556567,37.0
1855603068,19.0
2036202855,1.0
1867887935,50.0
1773727770,37.0
1402050649,22.0
1477211341,36.0
1825725375,24.0
1689089491,20.0
1617851980,50.0
1927925705,67.0
1070341433,4.0
1376823175,15.0
1390740042,36.0
1264776733,58.0
1241677174,43.0
1553565618,31.0
1144308043,22.0
1149042526,31.0
1667781793,38.0
1623890470,12.0
1349495996,19.0
1468997905,16.0
1095383795,27.0
1777694244,23.0
1416990198,51.0
1992923813,24.0
1209111618,24.0
1910684172,8.0
1303652689,82.0
1699151005,15.0
1710467126,36.0
1660117557,2.0
1262360533,33.0
1403299671,17.0
1280687010,95.0
1582135442,42.0
1851194409,21.0
1899006096,36.0
1896506249,30.0
1352151835,25.0
1147712129,26.0
1348695159,19.0
1584181408,38.0
1816221934,57.0
1434024280,27.0
1535589492,27.0
1891683756,21.0
1177597880,11.0
1228767540,18.0
1091472254,14.0
1470294699,61.0
