place_id,exit_info,status
1502886652,광명사거리역 4번 출구에서 144 m,success
1347315519,,no_data
1094108498,,no_data
1315467654,,no_data
1201225994,기흥역 7번 출구에서 629 m,success
1095389920,,no_data
1529303622,,no_data
1275359715,강남대역 2번 출구에서 258 m,success
1856141633,,no_data
1326128647,운양역 2번 출구에서 184 m,success
1329344968,남위례역 3번 출구에서 143 m,success
1345961322,걸포북변역 1번 출구에서 421 m,success
1416268607,부천시청역 3번 출구에서 218 m,success
1715463219,상동역 4번 출구에서 291 m,success
1970770706,둔전역 1번 출구에서 560 m,success
1047538304,,no_data
1203738762,산본역 3번 출구에서 141 m,success
1085628828,,no_data
1292391064,삼동역 2번 출구에서 575 m,success
1618620966,,no_data
1564897016,,no_data
1930537898,진접역 4번 출구에서 76 m,success
1272666945,죽전역 2번 출구에서 787 m,success
1743564761,,no_data
1069547938,장자호수공원역 6번 출구에서 232 m,success
1664789586,,no_data
1534049176,에버랜드역 2번 출구에서 260 m,success
1104406299,원종역 3번 출구에서 96 m,success
1914402029,,no_data
1053571029,정자역 3번 출구에서 142 m,success
1589740014,덕계역 1번 출구에서 260 m,success
1251289688,,no_data
1739324821,,no_data
1973820010,,no_data
1526986047,서정리역 3번 출구에서 522 m,success
1788671295,소새울역 4번 출구에서 409 m,success
1050993722,,no_data
1046930641,야당역 1번 출구에서 241 m,success
1446761157,당정역 3번 출구에서 551 m,success
1276398984,행신역 1번 출구에서 364 m,success
2032724448,,no_data
1626443443,,no_data
1902214765,송내역 2번 출구에서 303 m,success
1583835753,,no_data
1098387318,,no_data
1957512936,범계역 3번 출구에서 307 m,success
1068781997,,no_data
1744675487,,no_data
1997098203,,no_data
1419560678,,no_data
1520975504,퇴계원역 2번 출구에서 309 m,success
1700121235,,no_data
1669752875,,no_data
1819733849,구래역 4번 출구에서 406 m,success
1695640440,,no_data
1662562207,야탑역 1번 출구에서 280 m,success
1075452973,지축역 1번 출구에서 203 m,success
1183679383,백석역 6번 출구에서 318 m,success
1156178973,성균관대역 2번 출구에서 228 m,success
1961556567,평택역 1번 출구에서 609 m,success
1855603068,,no_data
2036202855,,no_data
1867887935,화정역 2번 출구에서 264 m,success
1773727770,,no_data
1402050649,,no_data
1477211341,,no_data
1825725375,,no_data
1689089491,,no_data
1617851980,,no_data
1927925705,서현역 5번 출구에서 265 m,success
1070341433,월곶역 1번 출구에서 651 m,success
1376823175,발곡역 1번 출구에서 762 m,success
